date,aspect,png_path,jpg_path,caption_en,caption_hi
2025-09-20,4x5,D:\AISatyagrah\exports\2025-09-20\onepager_4x5.png,D:\AISatyagrah\exports\2025-09-20\onepager_4x5.jpg,"Today’s satire: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
Summary: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
👇 Tell us what you think","आज का व्यंग्य: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
सार: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
👇 अपनी राय बताइए"
2025-09-20,1x1,D:\AISatyagrah\exports\2025-09-20\onepager_1x1.png,D:\AISatyagrah\exports\2025-09-20\onepager_1x1.jpg,"Today’s satire: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
Summary: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
👇 Tell us what you think","आज का व्यंग्य: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
सार: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
👇 अपनी राय बताइए"
2025-09-20,9x16,D:\AISatyagrah\exports\2025-09-20\onepager_9x16.png,D:\AISatyagrah\exports\2025-09-20\onepager_9x16.jpg,"Today’s satire: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
Summary: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
👇 Tell us what you think","आज का व्यंग्य: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
सार: ED questions actor Jagapati Babu in Sahiti Infra fraud probe
👇 अपनी राय बताइए"
