title,snippet,hashtags,id
An avoidable tragedy: On the TVK rally, the stampede in Karur,"#india #indiapolitics #delhi #mumbai #newdelhi",t1
Mattanchery police nab Maharashtra man for alleged role in ₹2.8cr ‘virtual arrest’ scam,"#india #indiapolitics #mumbai #newdelhi",t2
Key initiatives honoured with M.S. Swaminathan Award for Environmental Protection,"#india #indiapolitics #delhi #mumbai #newdelhi",t3
