date,aspect,png_path,jpg_path,caption_en,caption_hi
2025-09-29,4x5,D:\AISatyagrah\exports\2025-09-29\onepager_4x5.png,D:\AISatyagrah\exports\2025-09-29\onepager_4x5.jpg,"Today’s satire: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
Summary: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
👇 Tell us what you think","आज का व्यंग्य: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
सार: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
👇 अपनी राय बताइए"
2025-09-29,1x1,D:\AISatyagrah\exports\2025-09-29\onepager_1x1.png,D:\AISatyagrah\exports\2025-09-29\onepager_1x1.jpg,"Today’s satire: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
Summary: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
👇 Tell us what you think","आज का व्यंग्य: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
सार: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
👇 अपनी राय बताइए"
2025-09-29,9x16,D:\AISatyagrah\exports\2025-09-29\onepager_9x16.png,D:\AISatyagrah\exports\2025-09-29\onepager_9x16.jpg,"Today’s satire: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
Summary: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
👇 Tell us what you think","आज का व्यंग्य: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
सार: TVK Karur rally stampede: Rahul Gandhi speaks with actor Vijay
👇 अपनी राय बताइए"
