date,aspect,png_path,jpg_path,caption_en,caption_hi
2025-09-19,4x5,D:\AISatyagrah\exports\2025-09-19\onepager_4x5.png,,High-contrast political satire poster about t1,
2025-09-19,1x1,D:\AISatyagrah\exports\2025-09-19\onepager_1x1.png,,High-contrast political satire poster about t1,
2025-09-19,9x16,D:\AISatyagrah\exports\2025-09-19\onepager_9x16.png,,High-contrast political satire poster about t1,
